Epoch,Accuracy,Loss
1.0,14.06,
2.0,10.15,
3.0,10.2,
4.0,14.06,
5.0,10.56,
6.0,12.5,
7.0,13.28,
8.0,10.13,
9.0,11.25,
10.0,10.84,
11.0,11.02,
12.0,17.19,
13.0,14.58,
14.0,10.34,
15.0,11.72,
16.0,20.31,
17.0,10.48,
18.0,10.94,
19.0,11.72,
20.0,14.84,
21.0,10.21,
22.0,10.94,
23.0,12.5,
24.0,10.6,
25.0,14.06,
26.0,11.33,
27.0,16.41,
28.0,17.19,
29.0,10.94,
30.0,14.06,
31.0,10.07,
32.0,10.49,
33.0,10.37,
34.0,10.71,
35.0,11.72,
36.0,14.06,
37.0,14.06,
38.0,12.5,
39.0,13.28,
40.0,11.72,
41.0,11.38,
42.0,12.5,
43.0,11.61,
44.0,10.23,
45.0,10.06,
46.0,17.19,
47.0,10.94,
48.0,10.49,
49.0,15.62,
50.0,11.72,
51.0,17.19,
52.0,12.5,
53.0,10.94,
54.0,10.94,
55.0,10.39,
56.0,14.06,
57.0,13.12,
58.0,10.27,
59.0,15.62,
60.0,10.94,
61.0,11.72,
62.0,11.72,
63.0,13.54,
64.0,10.83,
65.0,10.69,
66.0,14.06,
67.0,10.94,
68.0,12.5,
69.0,11.2,
70.0,12.5,
71.0,10.42,
72.0,10.9,
73.0,15.62,
74.0,12.5,
75.0,10.78,
76.0,10.73,
77.0,12.89,
78.0,10.88,
79.0,12.5,
80.0,10.24,
81.0,10.94,
82.0,11.72,
83.0,14.84,
84.0,10.94,
85.0,10.12,
86.0,10.8,
87.0,10.73,
88.0,10.82,
89.0,17.19,
90.0,10.16,
91.0,10.27,
92.0,17.19,
93.0,20.31,
94.0,10.94,
95.0,15.62,
96.0,12.5,
97.0,11.72,
98.0,14.06,
99.0,16.41,
100.0,10.04,
101.0,10.47,
102.0,13.02,
103.0,12.11,
104.0,11.88,
105.0,15.62,
106.0,12.89,
107.0,10.16,
108.0,11.56,
109.0,11.27,
110.0,16.15,
111.0,12.78,
112.0,12.5,
113.0,17.19,
114.0,11.03,
115.0,12.5,
116.0,10.05,
117.0,12.5,
118.0,11.33,
119.0,10.16,
120.0,12.5,
121.0,12.5,
122.0,11.88,
123.0,11.15,
124.0,10.5,
125.0,10.17,
126.0,13.54,
127.0,10.94,
128.0,11.46,
129.0,13.28,
130.0,12.5,
131.0,15.62,
132.0,12.5,
133.0,16.41,
134.0,11.98,
135.0,14.06,
136.0,17.97,
137.0,12.5,
138.0,10.94,
139.0,13.28,
140.0,12.5,
141.0,10.01,
142.0,12.5,
143.0,11.61,
144.0,10.48,
145.0,10.11,
146.0,15.62,
147.0,11.72,
148.0,17.19,
149.0,10.05,
150.0,11.98,
151.0,11.98,
152.0,12.5,
153.0,14.06,
154.0,11.83,
155.0,10.94,
156.0,12.5,
157.0,10.66,
158.0,10.65,
159.0,10.05,
160.0,10.65,
161.0,10.94,
162.0,11.46,
163.0,14.06,
164.0,10.72,
165.0,11.98,
166.0,17.19,
167.0,10.53,
168.0,15.62,
169.0,10.43,
170.0,11.46,
171.0,11.72,
172.0,11.22,
173.0,12.5,
174.0,10.49,
175.0,12.28,
176.0,10.94,
177.0,11.24,
178.0,10.85,
179.0,11.72,
180.0,11.72,
181.0,14.06,
182.0,10.13,
183.0,10.94,
184.0,15.62,
185.0,11.56,
186.0,10.29,
187.0,12.5,
188.0,11.61,
189.0,15.62,
190.0,12.5,
191.0,10.4,
192.0,11.83,
193.0,11.38,
194.0,12.5,
195.0,12.19,
196.0,11.25,
197.0,11.98,
198.0,10.81,
199.0,14.06,
200.0,10.37,
Test,10.0,
Best,20.31,@ epoch 16
