2024-03-11 15:53:27,676 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2024-03-11 15:53:29,287 | INFO | hilo.dataset-accessor : Fetching dataset: imagenet
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Initializing transform.
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Verifying/downloading train data.
2024-03-11 15:53:31,951 | INFO | hilo.imagenet-dataset : Verifying/downloading test data.
2024-03-11 15:53:31,972 | INFO | hilo.imagenet-dataset : Creating train data loader.
2024-03-11 16:46:04,292 | INFO | hilo : Epoch  41/200 | Accuracy:   0.0000 | Loss:   5.3041
2024-03-11 16:47:22,488 | INFO | hilo : Epoch  42/200 | Accuracy:   0.0000 | Loss:   5.3108
2024-03-11 16:48:41,038 | INFO | hilo : Epoch  43/200 | Accuracy:   0.0000 | Loss:   5.3052
2024-03-11 16:49:59,655 | INFO | hilo : Epoch  44/200 | Accuracy:   0.0000 | Loss:   5.3126
2024-03-11 16:51:18,316 | INFO | hilo : Epoch  45/200 | Accuracy:   0.0000 | Loss:   5.2893
2024-03-11 16:52:37,193 | INFO | hilo : Epoch  46/200 | Accuracy:   0.0000 | Loss:   5.3108
2024-03-11 16:53:55,905 | INFO | hilo : Epoch  47/200 | Accuracy:   0.0000 | Loss:   5.3113
2024-03-11 16:55:14,632 | INFO | hilo : Epoch  48/200 | Accuracy:   0.0000 | Loss:   5.2898
2024-03-11 16:56:33,574 | INFO | hilo : Epoch  49/200 | Accuracy:   0.0000 | Loss:   5.3057
2024-03-11 16:57:52,454 | INFO | hilo : Epoch  50/200 | Accuracy:   0.0000 | Loss:   5.3023
2024-03-11 16:59:11,337 | INFO | hilo : Epoch  51/200 | Accuracy:   0.0000 | Loss:   5.3018
2024-03-11 17:00:30,203 | INFO | hilo : Epoch  52/200 | Accuracy:   0.0000 | Loss:   5.2989
2024-03-11 17:01:49,043 | INFO | hilo : Epoch  53/200 | Accuracy:   0.0000 | Loss:   5.3001
2024-03-11 17:03:07,928 | INFO | hilo : Epoch  54/200 | Accuracy:   0.0000 | Loss:   5.2982
2024-03-11 17:04:27,110 | INFO | hilo : Epoch  55/200 | Accuracy:   0.0000 | Loss:   5.2992
2024-03-11 17:05:46,237 | INFO | hilo : Epoch  56/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 17:07:05,328 | INFO | hilo : Epoch  57/200 | Accuracy:   0.0000 | Loss:   5.2979
2024-03-11 17:08:24,641 | INFO | hilo : Epoch  58/200 | Accuracy:   0.0000 | Loss:   5.2988
