Epoch,Accuracy,Loss
1.0,35.94,1.743490219116211
2.0,10.03,
3.0,10.69,
4.0,15.62,
5.0,10.63,
6.0,11.98,
7.0,10.6,
8.0,17.19,
9.0,10.04,
10.0,12.5,
11.0,10.07,
12.0,14.06,
13.0,10.16,
14.0,11.72,
15.0,14.06,
16.0,12.5,
17.0,11.46,
18.0,15.62,
19.0,11.88,
20.0,10.09,
21.0,10.62,
22.0,12.5,
23.0,12.5,
24.0,10.15,
25.0,10.94,
26.0,10.84,
27.0,10.31,
28.0,10.33,
29.0,10.42,
30.0,12.5,
31.0,11.88,
32.0,13.28,
33.0,15.62,
34.0,10.65,
35.0,10.94,
36.0,13.28,
37.0,13.28,
38.0,10.09,
39.0,10.87,
40.0,15.62,
41.0,10.38,
42.0,10.94,
43.0,11.46,
44.0,15.62,
45.0,13.09,
46.0,13.54,
47.0,10.04,
48.0,12.11,
49.0,10.94,
50.0,13.28,
51.0,12.5,
52.0,15.62,
53.0,12.5,
54.0,15.62,
55.0,10.2,
56.0,10.48,
57.0,17.19,
58.0,17.19,
59.0,15.62,
60.0,10.94,
61.0,10.35,
62.0,10.94,
63.0,10.42,
64.0,12.5,
65.0,11.76,
66.0,11.61,
67.0,10.24,
68.0,14.58,
69.0,10.94,
70.0,14.06,
71.0,10.48,
72.0,12.07,
73.0,10.67,
74.0,11.56,
75.0,12.5,
76.0,15.62,
77.0,12.5,
78.0,15.1,
79.0,10.55,
80.0,10.51,
81.0,10.23,
82.0,14.06,
83.0,14.06,
84.0,11.72,
85.0,11.46,
86.0,10.27,
87.0,11.98,
88.0,10.37,
89.0,11.37,
90.0,13.67,
91.0,12.5,
92.0,12.5,
93.0,10.29,
94.0,10.22,
95.0,11.1,
96.0,11.51,
97.0,14.06,
98.0,10.46,
99.0,10.02,
100.0,13.02,
101.0,10.81,
102.0,10.94,
103.0,10.65,
104.0,14.84,
105.0,10.75,
106.0,12.5,
107.0,10.18,
108.0,10.87,
109.0,12.5,
110.0,10.42,
111.0,10.76,
112.0,11.25,
113.0,14.06,
114.0,12.89,
115.0,11.16,
116.0,13.28,
117.0,14.06,
118.0,11.25,
119.0,12.5,
120.0,11.36,
121.0,12.5,
122.0,12.24,
123.0,10.94,
124.0,10.03,
125.0,14.06,
126.0,12.5,
127.0,10.94,
128.0,12.5,
129.0,12.81,
130.0,12.5,
131.0,10.32,
132.0,17.19,
133.0,11.2,
134.0,10.71,
135.0,11.33,
136.0,13.67,
137.0,10.31,
138.0,15.1,
139.0,10.29,
140.0,12.5,
141.0,14.06,
142.0,10.33,
143.0,12.89,
144.0,13.28,
145.0,11.83,
146.0,12.5,
147.0,12.5,
148.0,10.16,
149.0,11.23,
150.0,11.16,
151.0,14.06,
152.0,10.1,
153.0,11.83,
154.0,11.46,
155.0,12.5,
156.0,10.37,
157.0,10.68,
158.0,10.19,
159.0,13.28,
160.0,10.44,
161.0,10.64,
162.0,11.72,
163.0,15.62,
164.0,11.42,
165.0,14.06,
166.0,11.72,
167.0,10.6,
168.0,11.13,
169.0,11.33,
170.0,10.28,
171.0,10.94,
172.0,12.5,
173.0,12.15,
174.0,12.11,
175.0,11.46,
176.0,12.5,
177.0,12.5,
178.0,10.8,
179.0,10.94,
180.0,10.94,
181.0,10.17,
182.0,10.62,
183.0,11.46,
184.0,15.62,
185.0,14.45,
186.0,10.08,
187.0,10.37,
188.0,14.06,
189.0,10.27,
190.0,15.62,
191.0,10.23,
192.0,12.5,
193.0,11.46,
194.0,12.5,
195.0,10.1,
196.0,15.62,
197.0,14.06,
198.0,13.28,
199.0,10.16,
200.0,13.54,
Test,10.0,
Best,35.94,@ epoch 1
