Epoch,Accuracy,Loss
1.0,40.62,1.6526378393173218
2.0,14.06,
3.0,12.5,
4.0,11.98,
5.0,10.83,
6.0,14.06,
7.0,14.06,
8.0,11.65,
9.0,12.5,
10.0,12.5,
11.0,12.5,
12.0,12.5,
13.0,16.41,
14.0,10.42,
15.0,10.47,
16.0,14.06,
17.0,10.94,
18.0,11.43,
19.0,15.62,
20.0,10.65,
21.0,13.02,
22.0,15.62,
23.0,11.11,
24.0,11.72,
25.0,12.5,
26.0,11.67,
27.0,10.3,
28.0,13.28,
29.0,14.84,
30.0,12.24,
31.0,11.98,
32.0,11.72,
33.0,10.03,
34.0,10.72,
35.0,12.28,
36.0,12.19,
37.0,10.94,
38.0,18.75,
39.0,10.19,
40.0,14.06,
41.0,16.41,
42.0,14.06,
43.0,10.94,
44.0,10.8,
45.0,12.5,
46.0,10.99,
47.0,13.28,
48.0,10.62,
49.0,14.06,
50.0,14.84,
51.0,17.19,
52.0,15.62,
53.0,10.94,
54.0,12.5,
55.0,10.06,
56.0,10.21,
57.0,10.56,
58.0,10.94,
59.0,10.22,
60.0,11.17,
61.0,10.66,
62.0,14.06,
63.0,12.5,
64.0,12.5,
65.0,12.5,
66.0,14.06,
67.0,20.31,
68.0,12.5,
69.0,12.5,
70.0,10.06,
71.0,12.89,
72.0,11.72,
73.0,11.46,
74.0,12.5,
75.0,10.0,
76.0,12.5,
77.0,11.13,
78.0,12.5,
79.0,11.38,
80.0,11.76,
81.0,14.06,
82.0,15.62,
83.0,10.94,
84.0,10.48,
85.0,14.58,
86.0,12.5,
87.0,12.5,
88.0,10.12,
89.0,12.5,
90.0,15.62,
91.0,12.19,
92.0,11.98,
93.0,10.16,
94.0,10.23,
95.0,10.04,
96.0,13.02,
97.0,10.05,
98.0,10.38,
99.0,12.5,
100.0,10.94,
101.0,14.06,
102.0,10.16,
103.0,13.02,
104.0,14.06,
105.0,17.19,
106.0,15.62,
107.0,11.46,
108.0,10.94,
109.0,12.5,
110.0,10.6,
111.0,14.06,
112.0,14.06,
113.0,10.82,
114.0,10.55,
115.0,10.27,
116.0,10.2,
117.0,10.31,
118.0,17.19,
119.0,15.62,
120.0,14.06,
121.0,10.82,
122.0,17.19,
123.0,14.06,
124.0,14.06,
125.0,10.79,
126.0,14.06,
127.0,11.06,
128.0,14.06,
129.0,10.94,
130.0,12.5,
131.0,14.06,
132.0,13.02,
133.0,12.5,
134.0,14.06,
135.0,10.18,
136.0,10.46,
137.0,10.94,
138.0,14.06,
139.0,14.06,
140.0,10.94,
141.0,10.25,
142.0,11.56,
143.0,10.7,
144.0,18.75,
145.0,11.72,
146.0,12.5,
147.0,18.75,
148.0,11.98,
149.0,11.22,
150.0,11.46,
151.0,10.35,
152.0,12.5,
153.0,17.19,
154.0,14.06,
155.0,12.5,
156.0,11.46,
157.0,11.63,
158.0,11.46,
159.0,10.61,
160.0,10.94,
161.0,10.07,
162.0,18.75,
163.0,10.43,
164.0,17.19,
165.0,12.85,
166.0,11.72,
167.0,10.33,
168.0,12.5,
169.0,10.94,
170.0,14.06,
171.0,11.76,
172.0,11.0,
173.0,12.5,
174.0,13.67,
175.0,10.94,
176.0,11.46,
177.0,18.75,
178.0,14.06,
179.0,10.13,
180.0,10.13,
181.0,14.06,
182.0,10.16,
183.0,14.58,
184.0,10.55,
185.0,10.65,
186.0,10.55,
187.0,14.06,
188.0,10.24,
189.0,17.19,
190.0,14.06,
191.0,12.3,
192.0,12.5,
193.0,10.67,
194.0,12.5,
195.0,12.24,
196.0,12.11,
197.0,11.04,
198.0,10.1,
199.0,15.62,
200.0,10.94,
Test,10.0,
Best,40.62,@ epoch 1
