MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
vgg,cifar10,poisson,11,--,--,--
vgg,cifar10,poisson,12,--,--,--
vgg,cifar10,poisson,13,--,--,--
vgg,cifar10,poisson,14,--,--,--
vgg,cifar100,none,--,--,--,--
vgg,cifar100,cauchy,1,--,--,--
vgg,cifar100,cauchy,2,--,--,--
vgg,cifar100,cauchy,3,--,--,--
vgg,cifar100,cauchy,4,--,--,--
vgg,cifar100,cauchy,5,--,--,--
vgg,cifar100,cauchy,6,--,--,--
vgg,cifar100,cauchy,7,--,--,--
vgg,cifar100,cauchy,8,--,--,--
vgg,cifar100,cauchy,9,--,--,--
vgg,cifar100,cauchy,10,--,--,--
vgg,cifar100,cauchy,11,--,--,--
vgg,cifar100,cauchy,12,--,--,--
vgg,cifar100,cauchy,13,--,--,--
vgg,cifar100,cauchy,14,--,--,--
vgg,cifar100,gaussian,1,--,--,--
vgg,cifar100,gaussian,2,--,--,--
vgg,cifar100,gaussian,3,--,--,--
vgg,cifar100,gaussian,4,--,--,--
vgg,cifar100,gaussian,5,--,--,--
vgg,cifar100,gaussian,6,--,--,--
vgg,cifar100,gaussian,7,--,--,--
vgg,cifar100,gaussian,8,--,--,--
vgg,cifar100,gaussian,9,--,--,--
vgg,cifar100,gaussian,10,--,--,--
vgg,cifar100,gaussian,11,--,--,--
vgg,cifar100,gaussian,12,--,--,--
vgg,cifar100,gaussian,13,--,--,--
vgg,cifar100,gaussian,14,--,--,--
vgg,cifar100,gumbel,1,--,--,--
vgg,cifar100,gumbel,2,--,--,--
vgg,cifar100,gumbel,3,--,--,--
vgg,cifar100,gumbel,4,--,--,--
vgg,cifar100,gumbel,5,--,--,--
vgg,cifar100,gumbel,6,--,--,--
vgg,cifar100,gumbel,7,--,--,--
vgg,cifar100,gumbel,8,--,--,--
vgg,cifar100,gumbel,9,--,--,--
vgg,cifar100,gumbel,10,--,--,--
vgg,cifar100,gumbel,11,--,--,--
vgg,cifar100,gumbel,12,--,--,--
vgg,cifar100,gumbel,13,--,--,--
vgg,cifar100,gumbel,14,--,--,--
vgg,cifar100,laplace,1,--,--,--
vgg,cifar100,laplace,2,--,--,--
vgg,cifar100,laplace,3,--,--,--
vgg,cifar100,laplace,4,--,--,--
vgg,cifar100,laplace,5,--,--,--
vgg,cifar100,laplace,6,--,--,--
vgg,cifar100,laplace,7,--,--,--
vgg,cifar100,laplace,8,--,--,--
vgg,cifar100,laplace,9,--,--,--
vgg,cifar100,laplace,10,--,--,--
vgg,cifar100,laplace,11,--,--,--
vgg,cifar100,laplace,12,--,--,--
vgg,cifar100,laplace,13,--,--,--
vgg,cifar100,laplace,14,--,--,--
vgg,cifar100,poisson,1,--,--,--
vgg,cifar100,poisson,2,--,--,--
vgg,cifar100,poisson,3,--,--,--
vgg,cifar100,poisson,4,--,--,--
vgg,cifar100,poisson,5,--,--,--
vgg,cifar100,poisson,6,--,--,--
vgg,cifar100,poisson,7,--,--,--
vgg,cifar100,poisson,8,--,--,--
vgg,cifar100,poisson,9,--,--,--
vgg,cifar100,poisson,10,--,--,--
vgg,cifar100,poisson,11,--,--,--
vgg,cifar100,poisson,12,--,--,--
vgg,cifar100,poisson,13,--,--,--
vgg,cifar100,poisson,14,--,--,--
vgg,imagenet,none,--,--,--,--
vgg,imagenet,cauchy,1,--,--,--
vgg,imagenet,cauchy,2,--,--,--
vgg,imagenet,cauchy,3,--,--,--
vgg,imagenet,cauchy,4,--,--,--
vgg,imagenet,cauchy,5,--,--,--
vgg,imagenet,cauchy,6,--,--,--
vgg,imagenet,cauchy,7,--,--,--
vgg,imagenet,cauchy,8,--,--,--
vgg,imagenet,cauchy,9,--,--,--
vgg,imagenet,cauchy,10,--,--,--
vgg,imagenet,cauchy,11,--,--,--
vgg,imagenet,cauchy,12,--,--,--
vgg,imagenet,cauchy,13,--,--,--
vgg,imagenet,cauchy,14,--,--,--
vgg,imagenet,gaussian,1,--,--,--
vgg,imagenet,gaussian,2,--,--,--
vgg,imagenet,gaussian,3,--,--,--
vgg,imagenet,gaussian,4,--,--,--
vgg,imagenet,gaussian,5,--,--,--
vgg,imagenet,gaussian,6,--,--,--
vgg,imagenet,gaussian,7,--,--,--
vgg,imagenet,gaussian,8,--,--,--
vgg,imagenet,gaussian,9,--,--,--
vgg,imagenet,gaussian,10,--,--,--
vgg,imagenet,gaussian,11,--,--,--
vgg,imagenet,gaussian,12,--,--,--
vgg,imagenet,gaussian,13,--,--,--
vgg,imagenet,gaussian,14,--,--,--
vgg,imagenet,gumbel,1,--,--,--
vgg,imagenet,gumbel,2,--,--,--
vgg,imagenet,gumbel,3,--,--,--
vgg,imagenet,gumbel,4,--,--,--
vgg,imagenet,gumbel,5,--,--,--
vgg,imagenet,gumbel,6,--,--,--
vgg,imagenet,gumbel,7,--,--,--
vgg,imagenet,gumbel,8,--,--,--
vgg,imagenet,gumbel,9,--,--,--
vgg,imagenet,gumbel,10,--,--,--
vgg,imagenet,gumbel,11,--,--,--
vgg,imagenet,gumbel,12,--,--,--
vgg,imagenet,gumbel,13,--,--,--
vgg,imagenet,gumbel,14,--,--,--
vgg,imagenet,laplace,1,--,--,--
vgg,imagenet,laplace,2,--,--,--
vgg,imagenet,laplace,3,--,--,--
vgg,imagenet,laplace,4,--,--,--
vgg,imagenet,laplace,5,--,--,--
vgg,imagenet,laplace,6,--,--,--
vgg,imagenet,laplace,7,--,--,--
vgg,imagenet,laplace,8,--,--,--
vgg,imagenet,laplace,9,--,--,--
vgg,imagenet,laplace,10,--,--,--
vgg,imagenet,laplace,11,--,--,--
vgg,imagenet,laplace,12,--,--,--
vgg,imagenet,laplace,13,--,--,--
vgg,imagenet,laplace,14,--,--,--
vgg,imagenet,poisson,1,--,--,--
vgg,imagenet,poisson,2,--,--,--
vgg,imagenet,poisson,3,--,--,--
vgg,imagenet,poisson,4,--,--,--
vgg,imagenet,poisson,5,--,--,--
vgg,imagenet,poisson,6,--,--,--
vgg,imagenet,poisson,7,--,--,--
vgg,imagenet,poisson,8,--,--,--
vgg,imagenet,poisson,9,--,--,--
vgg,imagenet,poisson,10,--,--,--
vgg,imagenet,poisson,11,--,--,--
vgg,imagenet,poisson,12,--,--,--
vgg,imagenet,poisson,13,--,--,--
vgg,imagenet,poisson,14,--,--,--
vgg,mnist,none,--,--,--,--
vgg,mnist,cauchy,1,--,--,--
vgg,mnist,cauchy,2,--,--,--
vgg,mnist,cauchy,3,--,--,--
vgg,mnist,cauchy,4,--,--,--
vgg,mnist,cauchy,5,--,--,--
vgg,mnist,cauchy,6,--,--,--
vgg,mnist,cauchy,7,--,--,--
vgg,mnist,cauchy,8,--,--,--
vgg,mnist,cauchy,9,--,--,--
vgg,mnist,cauchy,10,--,--,--
vgg,mnist,cauchy,11,--,--,--
vgg,mnist,cauchy,12,--,--,--
vgg,mnist,cauchy,13,--,--,--
vgg,mnist,cauchy,14,--,--,--
vgg,mnist,gaussian,1,--,--,--
vgg,mnist,gaussian,2,--,--,--
vgg,mnist,gaussian,3,--,--,--
vgg,mnist,gaussian,4,--,--,--
vgg,mnist,gaussian,5,--,--,--
vgg,mnist,gaussian,6,--,--,--
vgg,mnist,gaussian,7,--,--,--
vgg,mnist,gaussian,8,--,--,--
vgg,mnist,gaussian,9,--,--,--
vgg,mnist,gaussian,10,--,--,--
vgg,mnist,gaussian,11,--,--,--
vgg,mnist,gaussian,12,--,--,--
vgg,mnist,gaussian,13,--,--,--
vgg,mnist,gaussian,14,--,--,--
vgg,mnist,gumbel,1,--,--,--
vgg,mnist,gumbel,2,--,--,--
vgg,mnist,gumbel,3,--,--,--
vgg,mnist,gumbel,4,--,--,--
vgg,mnist,gumbel,5,--,--,--
vgg,mnist,gumbel,6,--,--,--
vgg,mnist,gumbel,7,--,--,--
vgg,mnist,gumbel,8,--,--,--
vgg,mnist,gumbel,9,--,--,--
vgg,mnist,gumbel,10,--,--,--
vgg,mnist,gumbel,11,--,--,--
vgg,mnist,gumbel,12,--,--,--
vgg,mnist,gumbel,13,--,--,--
vgg,mnist,gumbel,14,--,--,--
vgg,mnist,laplace,1,--,--,--
vgg,mnist,laplace,2,--,--,--
vgg,mnist,laplace,3,--,--,--
vgg,mnist,laplace,4,--,--,--
vgg,mnist,laplace,5,--,--,--
vgg,mnist,laplace,6,--,--,--
vgg,mnist,laplace,7,--,--,--
vgg,mnist,laplace,8,--,--,--
vgg,mnist,laplace,9,--,--,--
vgg,mnist,laplace,10,--,--,--
vgg,mnist,laplace,11,--,--,--
vgg,mnist,laplace,12,--,--,--
vgg,mnist,laplace,13,--,--,--
vgg,mnist,laplace,14,--,--,--
vgg,mnist,poisson,1,--,--,--
vgg,mnist,poisson,2,--,--,--
vgg,mnist,poisson,3,--,--,--
vgg,mnist,poisson,4,--,--,--
vgg,mnist,poisson,5,--,--,--
vgg,mnist,poisson,6,--,--,--
vgg,mnist,poisson,7,--,--,--
vgg,mnist,poisson,8,--,--,--
vgg,mnist,poisson,9,--,--,--
vgg,mnist,poisson,10,--,--,--
vgg,mnist,poisson,11,--,--,--
vgg,mnist,poisson,12,--,--,--
vgg,mnist,poisson,13,--,--,--
vgg,mnist,poisson,14,--,--,--
