MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
normal,cifar100,poisson,12,--,--,--
normal,cifar100,poisson,13,--,--,--
normal,cifar100,poisson,14,--,--,--
normal,imagenet,none,--,4.6875,4,0.57
normal,imagenet,cauchy,1,--,--,--
normal,imagenet,cauchy,2,--,--,--
normal,imagenet,cauchy,3,--,--,--
normal,imagenet,cauchy,4,--,--,--
normal,imagenet,cauchy,5,--,--,--
normal,imagenet,cauchy,6,--,--,--
normal,imagenet,cauchy,7,--,--,--
normal,imagenet,cauchy,8,--,--,--
normal,imagenet,cauchy,9,--,--,--
normal,imagenet,cauchy,10,--,--,--
normal,imagenet,cauchy,11,--,--,--
normal,imagenet,cauchy,12,--,--,--
normal,imagenet,cauchy,13,--,--,--
normal,imagenet,cauchy,14,--,--,--
normal,imagenet,gaussian,1,--,--,--
normal,imagenet,gaussian,2,--,--,--
normal,imagenet,gaussian,3,--,--,--
normal,imagenet,gaussian,4,--,--,--
normal,imagenet,gaussian,5,--,--,--
normal,imagenet,gaussian,6,--,--,--
normal,imagenet,gaussian,7,--,--,--
normal,imagenet,gaussian,8,--,--,--
normal,imagenet,gaussian,9,--,--,--
normal,imagenet,gaussian,10,--,--,--
normal,imagenet,gaussian,11,--,--,--
normal,imagenet,gaussian,12,--,--,--
normal,imagenet,gaussian,13,--,--,--
normal,imagenet,gaussian,14,--,--,--
normal,imagenet,gumbel,1,--,--,--
normal,imagenet,gumbel,2,--,--,--
normal,imagenet,gumbel,3,--,--,--
normal,imagenet,gumbel,4,--,--,--
normal,imagenet,gumbel,5,--,--,--
normal,imagenet,gumbel,6,--,--,--
normal,imagenet,gumbel,7,--,--,--
normal,imagenet,gumbel,8,--,--,--
normal,imagenet,gumbel,9,--,--,--
normal,imagenet,gumbel,10,--,--,--
normal,imagenet,gumbel,11,--,--,--
normal,imagenet,gumbel,12,--,--,--
normal,imagenet,gumbel,13,--,--,--
normal,imagenet,gumbel,14,--,--,--
normal,imagenet,laplace,1,--,--,--
normal,imagenet,laplace,2,--,--,--
normal,imagenet,laplace,3,--,--,--
normal,imagenet,laplace,4,--,--,--
normal,imagenet,laplace,5,--,--,--
normal,imagenet,laplace,6,--,--,--
normal,imagenet,laplace,7,--,--,--
normal,imagenet,laplace,8,--,--,--
normal,imagenet,laplace,9,--,--,--
normal,imagenet,laplace,10,--,--,--
normal,imagenet,laplace,11,--,--,--
normal,imagenet,laplace,12,--,--,--
normal,imagenet,laplace,13,--,--,--
normal,imagenet,laplace,14,--,--,--
normal,imagenet,poisson,1,--,--,--
normal,imagenet,poisson,2,--,--,--
normal,imagenet,poisson,3,--,--,--
normal,imagenet,poisson,4,--,--,--
normal,imagenet,poisson,5,--,--,--
normal,imagenet,poisson,6,--,--,--
normal,imagenet,poisson,7,--,--,--
normal,imagenet,poisson,8,--,--,--
normal,imagenet,poisson,9,--,--,--
normal,imagenet,poisson,10,--,--,--
normal,imagenet,poisson,11,--,--,--
normal,imagenet,poisson,12,--,--,--
normal,imagenet,poisson,13,--,--,--
normal,imagenet,poisson,14,--,--,--
normal,mnist,none,--,100.0,2,99.43
normal,mnist,cauchy,1,--,--,--
normal,mnist,cauchy,2,--,--,--
normal,mnist,cauchy,3,--,--,--
normal,mnist,cauchy,4,--,--,--
normal,mnist,cauchy,5,--,--,--
normal,mnist,cauchy,6,--,--,--
normal,mnist,cauchy,7,--,--,--
normal,mnist,cauchy,8,--,--,--
normal,mnist,cauchy,9,--,--,--
normal,mnist,cauchy,10,--,--,--
normal,mnist,cauchy,11,--,--,--
normal,mnist,cauchy,12,--,--,--
normal,mnist,cauchy,13,--,--,--
normal,mnist,cauchy,14,--,--,--
normal,mnist,gaussian,1,--,--,--
normal,mnist,gaussian,2,--,--,--
