MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST ACCURACY,EPOCH,TEST ACCURACY
normal,cifar100,poisson,10,--,--,--
normal,cifar100,poisson,11,--,--,--
normal,cifar100,poisson,12,--,--,--
normal,cifar100,poisson,13,--,--,--
normal,cifar100,poisson,14,--,--,--
normal,mnist,none,--,--,--,--
normal,mnist,cauchy,1,--,--,--
normal,mnist,cauchy,2,--,--,--
normal,mnist,cauchy,3,--,--,--
normal,mnist,cauchy,4,--,--,--
normal,mnist,cauchy,5,--,--,--
normal,mnist,cauchy,6,--,--,--
normal,mnist,cauchy,7,--,--,--
normal,mnist,cauchy,8,--,--,--
normal,mnist,cauchy,9,--,--,--
normal,mnist,cauchy,10,--,--,--
normal,mnist,cauchy,11,--,--,--
normal,mnist,cauchy,12,--,--,--
normal,mnist,cauchy,13,--,--,--
normal,mnist,cauchy,14,--,--,--
normal,mnist,gaussian,1,--,--,--
normal,mnist,gaussian,2,--,--,--
normal,mnist,gaussian,3,--,--,--
normal,mnist,gaussian,4,--,--,--
normal,mnist,gaussian,5,--,--,--
normal,mnist,gaussian,6,--,--,--
normal,mnist,gaussian,7,--,--,--
normal,mnist,gaussian,8,--,--,--
normal,mnist,gaussian,9,--,--,--
normal,mnist,gaussian,10,--,--,--
normal,mnist,gaussian,11,--,--,--
normal,mnist,gaussian,12,--,--,--
normal,mnist,gaussian,13,--,--,--
normal,mnist,gaussian,14,--,--,--
normal,mnist,gumbel,1,--,--,--
normal,mnist,gumbel,2,--,--,--
normal,mnist,gumbel,3,--,--,--
normal,mnist,gumbel,4,--,--,--
normal,mnist,gumbel,5,--,--,--
normal,mnist,gumbel,6,--,--,--
normal,mnist,gumbel,7,--,--,--
normal,mnist,gumbel,8,--,--,--
normal,mnist,gumbel,9,--,--,--
normal,mnist,gumbel,10,--,--,--
normal,mnist,gumbel,11,--,--,--
normal,mnist,gumbel,12,--,--,--
normal,mnist,gumbel,13,--,--,--
normal,mnist,gumbel,14,--,--,--
normal,mnist,laplace,1,--,--,--
normal,mnist,laplace,2,--,--,--
normal,mnist,laplace,3,--,--,--
normal,mnist,laplace,4,--,--,--
normal,mnist,laplace,5,--,--,--
normal,mnist,laplace,6,--,--,--
normal,mnist,laplace,7,--,--,--
normal,mnist,laplace,8,--,--,--
normal,mnist,laplace,9,--,--,--
normal,mnist,laplace,10,--,--,--
normal,mnist,laplace,11,--,--,--
normal,mnist,laplace,12,--,--,--
normal,mnist,laplace,13,--,--,--
normal,mnist,laplace,14,--,--,--
normal,mnist,poisson,1,--,--,--
normal,mnist,poisson,2,--,--,--
normal,mnist,poisson,3,--,--,--
normal,mnist,poisson,4,--,--,--
normal,mnist,poisson,5,--,--,--
normal,mnist,poisson,6,--,--,--
normal,mnist,poisson,7,--,--,--
normal,mnist,poisson,8,--,--,--
normal,mnist,poisson,9,--,--,--
normal,mnist,poisson,10,--,--,--
normal,mnist,poisson,11,--,--,--
normal,mnist,poisson,12,--,--,--
normal,mnist,poisson,13,--,--,--
normal,mnist,poisson,14,--,--,--
normal,svhn,none,--,--,--,--
normal,svhn,cauchy,1,--,--,--
normal,svhn,cauchy,2,--,--,--
normal,svhn,cauchy,3,--,--,--
normal,svhn,cauchy,4,--,--,--
normal,svhn,cauchy,5,--,--,--
normal,svhn,cauchy,6,--,--,--
normal,svhn,cauchy,7,--,--,--
normal,svhn,cauchy,8,--,--,--
normal,svhn,cauchy,9,--,--,--
normal,svhn,cauchy,10,--,--,--
normal,svhn,cauchy,11,--,--,--
normal,svhn,cauchy,12,--,--,--
normal,svhn,cauchy,13,--,--,--
normal,svhn,cauchy,14,--,--,--
normal,svhn,gaussian,1,--,--,--
normal,svhn,gaussian,2,--,--,--
normal,svhn,gaussian,3,--,--,--
normal,svhn,gaussian,4,--,--,--
normal,svhn,gaussian,5,--,--,--
normal,svhn,gaussian,6,--,--,--
normal,svhn,gaussian,7,--,--,--
normal,svhn,gaussian,8,--,--,--
normal,svhn,gaussian,9,--,--,--
normal,svhn,gaussian,10,--,--,--
normal,svhn,gaussian,11,--,--,--
normal,svhn,gaussian,12,--,--,--
normal,svhn,gaussian,13,--,--,--
normal,svhn,gaussian,14,--,--,--
normal,svhn,gumbel,1,--,--,--
normal,svhn,gumbel,2,--,--,--
normal,svhn,gumbel,3,--,--,--
normal,svhn,gumbel,4,--,--,--
normal,svhn,gumbel,5,--,--,--
normal,svhn,gumbel,6,--,--,--
normal,svhn,gumbel,7,--,--,--
normal,svhn,gumbel,8,--,--,--
normal,svhn,gumbel,9,--,--,--
normal,svhn,gumbel,10,--,--,--
normal,svhn,gumbel,11,--,--,--
normal,svhn,gumbel,12,--,--,--
normal,svhn,gumbel,13,--,--,--
normal,svhn,gumbel,14,--,--,--
normal,svhn,laplace,1,--,--,--
normal,svhn,laplace,2,--,--,--
normal,svhn,laplace,3,--,--,--
normal,svhn,laplace,4,--,--,--
normal,svhn,laplace,5,--,--,--
normal,svhn,laplace,6,--,--,--
normal,svhn,laplace,7,--,--,--
normal,svhn,laplace,8,--,--,--
normal,svhn,laplace,9,--,--,--
normal,svhn,laplace,10,--,--,--
normal,svhn,laplace,11,--,--,--
normal,svhn,laplace,12,--,--,--
normal,svhn,laplace,13,--,--,--
normal,svhn,laplace,14,--,--,--
normal,svhn,poisson,1,--,--,--
normal,svhn,poisson,2,--,--,--
normal,svhn,poisson,3,--,--,--
normal,svhn,poisson,4,--,--,--
normal,svhn,poisson,5,--,--,--
normal,svhn,poisson,6,--,--,--
normal,svhn,poisson,7,--,--,--
normal,svhn,poisson,8,--,--,--
normal,svhn,poisson,9,--,--,--
normal,svhn,poisson,10,--,--,--
normal,svhn,poisson,11,--,--,--
normal,svhn,poisson,12,--,--,--
normal,svhn,poisson,13,--,--,--
normal,svhn,poisson,14,--,--,--
resnet,cifar10,none,--,--,--,--
resnet,cifar10,cauchy,1,--,--,--
resnet,cifar10,cauchy,2,--,--,--
resnet,cifar10,cauchy,3,--,--,--
resnet,cifar10,cauchy,4,--,--,--
resnet,cifar10,cauchy,5,--,--,--
resnet,cifar10,cauchy,6,--,--,--
resnet,cifar10,cauchy,7,--,--,--
resnet,cifar10,cauchy,8,--,--,--
resnet,cifar10,cauchy,9,--,--,--
resnet,cifar10,cauchy,10,--,--,--
resnet,cifar10,cauchy,11,--,--,--
resnet,cifar10,cauchy,12,--,--,--
resnet,cifar10,cauchy,13,--,--,--
resnet,cifar10,cauchy,14,--,--,--
resnet,cifar10,gaussian,1,--,--,--
resnet,cifar10,gaussian,2,--,--,--
resnet,cifar10,gaussian,3,--,--,--
resnet,cifar10,gaussian,4,--,--,--
resnet,cifar10,gaussian,5,--,--,--
resnet,cifar10,gaussian,6,--,--,--
resnet,cifar10,gaussian,7,--,--,--
resnet,cifar10,gaussian,8,--,--,--
resnet,cifar10,gaussian,9,--,--,--
resnet,cifar10,gaussian,10,--,--,--
resnet,cifar10,gaussian,11,--,--,--
resnet,cifar10,gaussian,12,--,--,--
resnet,cifar10,gaussian,13,--,--,--
resnet,cifar10,gaussian,14,--,--,--
resnet,cifar10,gumbel,1,--,--,--
resnet,cifar10,gumbel,2,--,--,--
resnet,cifar10,gumbel,3,--,--,--
resnet,cifar10,gumbel,4,--,--,--
resnet,cifar10,gumbel,5,--,--,--
resnet,cifar10,gumbel,6,--,--,--
resnet,cifar10,gumbel,7,--,--,--
resnet,cifar10,gumbel,8,--,--,--
resnet,cifar10,gumbel,9,--,--,--
resnet,cifar10,gumbel,10,--,--,--
resnet,cifar10,gumbel,11,--,--,--
resnet,cifar10,gumbel,12,--,--,--
resnet,cifar10,gumbel,13,--,--,--
resnet,cifar10,gumbel,14,--,--,--
resnet,cifar10,laplace,1,--,--,--
resnet,cifar10,laplace,2,--,--,--
resnet,cifar10,laplace,3,--,--,--
resnet,cifar10,laplace,4,--,--,--
resnet,cifar10,laplace,5,--,--,--
resnet,cifar10,laplace,6,--,--,--
resnet,cifar10,laplace,7,--,--,--
resnet,cifar10,laplace,8,--,--,--
resnet,cifar10,laplace,9,--,--,--
resnet,cifar10,laplace,10,--,--,--
resnet,cifar10,laplace,11,--,--,--
resnet,cifar10,laplace,12,--,--,--
resnet,cifar10,laplace,13,--,--,--
resnet,cifar10,laplace,14,--,--,--
resnet,cifar10,poisson,1,--,--,--
resnet,cifar10,poisson,2,--,--,--
resnet,cifar10,poisson,3,--,--,--
resnet,cifar10,poisson,4,--,--,--
resnet,cifar10,poisson,5,--,--,--
resnet,cifar10,poisson,6,--,--,--
resnet,cifar10,poisson,7,--,--,--
resnet,cifar10,poisson,8,--,--,--
resnet,cifar10,poisson,9,--,--,--
resnet,cifar10,poisson,10,--,--,--
resnet,cifar10,poisson,11,--,--,--
resnet,cifar10,poisson,12,--,--,--
resnet,cifar10,poisson,13,--,--,--
resnet,cifar10,poisson,14,--,--,--
resnet,cifar100,none,--,--,--,--
resnet,cifar100,cauchy,1,--,--,--
resnet,cifar100,cauchy,2,--,--,--
resnet,cifar100,cauchy,3,--,--,--
resnet,cifar100,cauchy,4,--,--,--
resnet,cifar100,cauchy,5,--,--,--
resnet,cifar100,cauchy,6,--,--,--
resnet,cifar100,cauchy,7,--,--,--
resnet,cifar100,cauchy,8,--,--,--
resnet,cifar100,cauchy,9,--,--,--
resnet,cifar100,cauchy,10,--,--,--
resnet,cifar100,cauchy,11,--,--,--
resnet,cifar100,cauchy,12,--,--,--
resnet,cifar100,cauchy,13,--,--,--
resnet,cifar100,cauchy,14,--,--,--
resnet,cifar100,gaussian,1,--,--,--
resnet,cifar100,gaussian,2,--,--,--
resnet,cifar100,gaussian,3,--,--,--
resnet,cifar100,gaussian,4,--,--,--
resnet,cifar100,gaussian,5,--,--,--
resnet,cifar100,gaussian,6,--,--,--
resnet,cifar100,gaussian,7,--,--,--
resnet,cifar100,gaussian,8,--,--,--
resnet,cifar100,gaussian,9,--,--,--
resnet,cifar100,gaussian,10,--,--,--
resnet,cifar100,gaussian,11,--,--,--
resnet,cifar100,gaussian,12,--,--,--
resnet,cifar100,gaussian,13,--,--,--
resnet,cifar100,gaussian,14,--,--,--
resnet,cifar100,gumbel,1,--,--,--
resnet,cifar100,gumbel,2,--,--,--
resnet,cifar100,gumbel,3,--,--,--
resnet,cifar100,gumbel,4,--,--,--
resnet,cifar100,gumbel,5,--,--,--
resnet,cifar100,gumbel,6,--,--,--
resnet,cifar100,gumbel,7,--,--,--
resnet,cifar100,gumbel,8,--,--,--
resnet,cifar100,gumbel,9,--,--,--
resnet,cifar100,gumbel,10,--,--,--
resnet,cifar100,gumbel,11,--,--,--
resnet,cifar100,gumbel,12,--,--,--
resnet,cifar100,gumbel,13,--,--,--
resnet,cifar100,gumbel,14,--,--,--
resnet,cifar100,laplace,1,--,--,--
resnet,cifar100,laplace,2,--,--,--
resnet,cifar100,laplace,3,--,--,--
resnet,cifar100,laplace,4,--,--,--
resnet,cifar100,laplace,5,--,--,--
resnet,cifar100,laplace,6,--,--,--
resnet,cifar100,laplace,7,--,--,--
resnet,cifar100,laplace,8,--,--,--
resnet,cifar100,laplace,9,--,--,--
resnet,cifar100,laplace,10,--,--,--
resnet,cifar100,laplace,11,--,--,--
resnet,cifar100,laplace,12,--,--,--
resnet,cifar100,laplace,13,--,--,--
resnet,cifar100,laplace,14,--,--,--
resnet,cifar100,poisson,1,--,--,--
resnet,cifar100,poisson,2,--,--,--
resnet,cifar100,poisson,3,--,--,--
resnet,cifar100,poisson,4,--,--,--
resnet,cifar100,poisson,5,--,--,--
resnet,cifar100,poisson,6,--,--,--
resnet,cifar100,poisson,7,--,--,--
resnet,cifar100,poisson,8,--,--,--
resnet,cifar100,poisson,9,--,--,--
resnet,cifar100,poisson,10,--,--,--
resnet,cifar100,poisson,11,--,--,--
resnet,cifar100,poisson,12,--,--,--
resnet,cifar100,poisson,13,--,--,--
